,ID,age,gender,education,alcohol,variable,value
0,2,25-34,M,Doctorate degree,CL5,nscore,-0.67825
1,3,35-44,M,Professional certificate/ diploma,CL6,nscore,-0.46725
2,4,18-24,F,Masters degree,CL4,nscore,-0.14882
3,5,35-44,F,Doctorate degree,CL4,nscore,0.73545
4,6,65+,F,Left school at 18 years,CL2,nscore,-0.67825
5,7,45-54,M,Masters degree,CL6,nscore,-0.46725
6,8,35-44,M,Left school at 16 years,CL5,nscore,-1.32828
7,9,35-44,F,Professional certificate/ diploma,CL4,nscore,0.62967
8,10,55-64,M,Masters degree,CL6,nscore,-0.24649
9,11,25-34,F,University degree,CL5,nscore,-1.05308
10,12,45-54,M,"Some college or university, no certificate or degree",CL5,nscore,-1.32828
11,13,55-64,F,University degree,CL5,nscore,2.28554
12,15,55-64,F,Professional certificate/ diploma,CL6,nscore,-0.92104
13,16,55-64,M,University degree,CL5,nscore,-2.05048
14,17,35-44,F,"Some college or university, no certificate or degree",CL6,nscore,-1.55078
15,18,45-54,M,Left school at 16 years,CL6,nscore,0.52135
16,19,55-64,M,University degree,CL6,nscore,1.37297
17,20,35-44,M,Professional certificate/ diploma,CL4,nscore,-0.34799
18,21,45-54,M,Professional certificate/ diploma,CL6,nscore,-0.79151
19,22,65+,M,Left school before 16 years,CL5,nscore,-1.1943
20,23,45-54,M,University degree,CL4,nscore,0.41667
21,24,45-54,M,Left school at 16 years,CL6,nscore,1.60383
22,25,55-64,M,University degree,CL5,nscore,-0.14882
23,26,45-54,M,"Some college or university, no certificate or degree",CL5,nscore,-0.79151
24,27,55-64,F,Left school at 18 years,CL6,nscore,-0.05188
25,28,35-44,M,University degree,CL6,nscore,0.52135
26,29,35-44,F,Masters degree,CL6,nscore,0.04257
27,31,45-54,M,Left school at 16 years,CL6,nscore,0.31287
28,32,35-44,F,Left school at 16 years,CL3,nscore,-1.1943
29,33,35-44,M,University degree,CL6,nscore,-0.79151
30,34,18-24,M,University degree,CL6,nscore,0.41667
31,35,35-44,M,University degree,CL4,nscore,1.02119
32,36,65+,M,Left school before 16 years,CL3,nscore,-0.24649
33,37,35-44,M,University degree,CL6,nscore,-0.24649
34,38,55-64,M,Left school before 16 years,CL6,nscore,0.31287
35,39,45-54,M,University degree,CL6,nscore,-1.55078
36,40,65+,F,Professional certificate/ diploma,CL6,nscore,-0.24649
37,41,35-44,M,Masters degree,CL5,nscore,0.04257
38,42,35-44,F,University degree,CL4,nscore,0.82562
39,43,35-44,M,Masters degree,CL6,nscore,-0.14882
40,44,35-44,M,Professional certificate/ diploma,CL6,nscore,-0.92104
41,45,25-34,M,University degree,CL5,nscore,-1.05308
42,46,25-34,F,University degree,CL5,nscore,-0.46725
43,47,45-54,F,"Some college or university, no certificate or degree",CL3,nscore,0.31287
44,48,45-54,M,Masters degree,CL5,nscore,-2.05048
45,49,45-54,M,Left school at 16 years,CL6,nscore,0.13606
46,50,25-34,F,Masters degree,CL6,nscore,0.82562
47,51,35-44,M,Masters degree,CL6,nscore,1.02119
48,52,45-54,M,Professional certificate/ diploma,CL2,nscore,1.13281
49,53,55-64,F,University degree,CL5,nscore,-0.14882
50,54,45-54,M,Masters degree,CL5,nscore,-1.43907
51,55,55-64,M,Left school at 16 years,CL6,nscore,0.04257
52,56,55-64,F,Professional certificate/ diploma,CL3,nscore,0.04257
53,57,35-44,F,"Some college or university, no certificate or degree",CL5,nscore,0.04257
54,59,45-54,M,Left school at 18 years,CL5,nscore,0.22393
55,60,45-54,M,University degree,CL5,nscore,-0.46725
56,61,25-34,F,Doctorate degree,CL5,nscore,1.37297
57,62,45-54,M,Masters degree,CL5,nscore,-2.21844
58,63,25-34,M,University degree,CL5,nscore,-0.58016
59,64,45-54,M,University degree,CL5,nscore,1.02119
60,65,45-54,M,Doctorate degree,CL6,nscore,-1.55078
61,66,35-44,M,"Some college or university, no certificate or degree",CL5,nscore,0.73545
62,67,45-54,M,Left school at 16 years,CL4,nscore,-1.05308
63,68,25-34,M,Masters degree,CL5,nscore,-0.34799
64,69,35-44,M,Professional certificate/ diploma,CL5,nscore,-0.92104
65,70,45-54,F,Left school at 16 years,CL6,nscore,-0.05188
66,71,25-34,M,"Some college or university, no certificate or degree",CL6,nscore,-0.34799
67,72,45-54,F,Left school at 18 years,CL5,nscore,-0.46725
68,73,45-54,M,Left school at 18 years,CL6,nscore,-1.55078
69,74,45-54,M,Professional certificate/ diploma,CL6,nscore,-0.67825
70,75,65+,F,Left school at 16 years,CL3,nscore,-1.1943
71,76,25-34,M,University degree,CL5,nscore,-0.14882
72,77,45-54,F,Left school at 17 years,CL4,nscore,-0.34799
73,78,35-44,M,University degree,CL3,nscore,0.13606
74,79,35-44,M,"Some college or university, no certificate or degree",CL6,nscore,-0.79151
75,80,35-44,M,Professional certificate/ diploma,CL5,nscore,-0.34799
76,81,65+,F,Doctorate degree,CL6,nscore,0.04257
77,82,55-64,F,University degree,CL5,nscore,-0.79151
78,83,55-64,M,Masters degree,CL5,nscore,-2.05048
79,84,55-64,F,Left school at 17 years,CL3,nscore,1.02119
80,85,45-54,M,Left school at 16 years,CL5,nscore,-0.34799
81,86,25-34,F,Left school at 18 years,CL3,nscore,-0.46725
82,87,35-44,M,"Some college or university, no certificate or degree",CL5,nscore,0.73545
83,88,55-64,M,Left school at 16 years,CL5,nscore,-0.92104
84,89,35-44,F,"Some college or university, no certificate or degree",CL3,nscore,0.31287
85,90,35-44,F,Masters degree,CL5,nscore,0.91093
86,91,35-44,F,Masters degree,CL6,nscore,1.37297
87,92,35-44,M,Professional certificate/ diploma,CL2,nscore,0.41667
88,93,25-34,M,Left school at 18 years,CL4,nscore,-1.55078
89,94,65+,F,Left school at 16 years,CL3,nscore,-0.14882
90,95,45-54,M,Masters degree,CL5,nscore,-0.67825
91,96,45-54,M,Masters degree,CL6,nscore,-0.46725
92,97,35-44,F,University degree,CL4,nscore,0.13606
93,98,45-54,F,Masters degree,CL5,nscore,-0.46725
94,99,35-44,M,Doctorate degree,CL4,nscore,-1.1943
95,100,25-34,F,University degree,CL6,nscore,-0.67825
96,101,25-34,M,Masters degree,CL6,nscore,-1.05308
97,102,45-54,F,Left school at 16 years,CL4,nscore,-0.58016
98,103,45-54,M,Left school at 18 years,CL6,nscore,-0.58016
99,104,45-54,F,Professional certificate/ diploma,CL4,nscore,0.04257
100,105,25-34,F,"Some college or university, no certificate or degree",CL5,nscore,-0.92104
101,106,35-44,M,Professional certificate/ diploma,CL3,nscore,-2.21844
102,107,25-34,F,"Some college or university, no certificate or degree",CL4,nscore,1.02119
103,108,35-44,F,Left school at 16 years,CL5,nscore,0.13606
104,109,25-34,F,University degree,CL5,nscore,-0.46725
105,110,45-54,F,"Some college or university, no certificate or degree",CL5,nscore,-0.79151
106,111,45-54,M,Masters degree,CL5,nscore,-0.14882
107,112,25-34,M,Masters degree,CL6,nscore,0.31287
108,113,25-34,F,University degree,CL3,nscore,-1.1943
109,114,45-54,F,Professional certificate/ diploma,CL4,nscore,0.04257
110,115,35-44,M,"Some college or university, no certificate or degree",CL4,nscore,-2.3436
111,116,25-34,F,Professional certificate/ diploma,CL5,nscore,0.22393
112,117,35-44,M,Professional certificate/ diploma,CL4,nscore,0.62967
113,118,25-34,F,University degree,CL5,nscore,1.60383
114,119,35-44,F,"Some college or university, no certificate or degree",CL5,nscore,1.8399
115,120,35-44,F,University degree,CL5,nscore,-0.34799
116,121,25-34,F,Masters degree,CL6,nscore,-1.05308
117,122,35-44,F,Professional certificate/ diploma,CL2,nscore,1.49158
118,123,55-64,M,Masters degree,CL6,nscore,0.22393
119,124,25-34,F,University degree,CL5,nscore,0.22393
120,125,45-54,M,Left school at 16 years,CL3,nscore,-0.34799
121,126,55-64,M,University degree,CL6,nscore,-0.46725
122,127,45-54,M,University degree,CL5,nscore,-1.1943
123,128,45-54,F,Left school at 17 years,CL5,nscore,-0.34799
124,130,45-54,F,Masters degree,CL6,nscore,-0.79151
125,131,45-54,F,Left school at 16 years,CL5,nscore,0.91093
126,132,45-54,F,Left school at 16 years,CL4,nscore,-1.55078
127,133,35-44,F,Left school at 18 years,CL4,nscore,-0.24649
128,134,35-44,M,Masters degree,CL5,nscore,-0.05188
129,135,25-34,F,Masters degree,CL6,nscore,3.27393
130,137,45-54,F,University degree,CL5,nscore,-0.14882
131,138,45-54,F,University degree,CL4,nscore,-1.1943
132,139,55-64,M,University degree,CL6,nscore,-0.46725
133,140,45-54,M,Left school at 16 years,CL6,nscore,-0.05188
134,141,25-34,F,University degree,CL5,nscore,1.98437
135,142,35-44,F,Left school at 16 years,CL5,nscore,-0.79151
136,143,35-44,M,Left school at 17 years,CL6,nscore,-0.46725
137,145,45-54,M,Professional certificate/ diploma,CL6,nscore,0.13606
138,146,45-54,F,University degree,CL4,nscore,-0.46725
139,147,55-64,M,Professional certificate/ diploma,CL6,nscore,0.22393
140,148,35-44,M,Masters degree,CL4,nscore,-0.58016
141,149,35-44,F,Professional certificate/ diploma,CL4,nscore,-0.05188
142,150,45-54,F,University degree,CL4,nscore,-0.79151
143,151,35-44,F,"Some college or university, no certificate or degree",CL5,nscore,-0.24649
144,152,35-44,F,University degree,CL5,nscore,0.52135
145,153,25-34,F,University degree,CL5,nscore,-0.46725
146,154,25-34,M,University degree,CL6,nscore,-0.67825
147,155,18-24,F,"Some college or university, no certificate or degree",CL5,nscore,2.82196
148,156,35-44,F,University degree,CL5,nscore,0.62967
149,157,35-44,F,"Some college or university, no certificate or degree",CL5,nscore,1.23461
150,158,25-34,M,Left school at 16 years,CL6,nscore,-1.05308
151,159,35-44,F,University degree,CL3,nscore,-0.24649
152,160,45-54,F,"Some college or university, no certificate or degree",CL4,nscore,-0.46725
153,161,45-54,M,Masters degree,CL5,nscore,1.02119
154,162,35-44,M,University degree,CL5,nscore,-0.67825
155,163,25-34,F,University degree,CL3,nscore,0.22393
156,164,25-34,F,"Some college or university, no certificate or degree",CL4,nscore,1.8399
157,165,25-34,F,Doctorate degree,CL3,nscore,0.13606
158,166,45-54,M,Masters degree,CL6,nscore,-0.24649
159,167,18-24,M,"Some college or university, no certificate or degree",CL5,nscore,1.49158
160,168,25-34,F,Professional certificate/ diploma,CL2,nscore,0.04257
161,169,25-34,F,University degree,CL5,nscore,0.22393
162,170,18-24,F,Left school at 18 years,CL5,nscore,-0.34799
163,171,45-54,M,Left school at 16 years,CL2,nscore,1.37297
164,172,35-44,M,Masters degree,CL6,nscore,-0.34799
165,173,45-54,F,Professional certificate/ diploma,CL5,nscore,0.52135
166,174,35-44,F,University degree,CL6,nscore,1.02119
167,175,35-44,F,Professional certificate/ diploma,CL6,nscore,1.02119
168,176,55-64,F,University degree,CL5,nscore,0.62967
169,177,35-44,F,University degree,CL3,nscore,-0.14882
170,178,35-44,F,University degree,CL5,nscore,1.49158
171,179,45-54,F,University degree,CL5,nscore,0.82562
172,180,35-44,F,Professional certificate/ diploma,CL5,nscore,0.41667
173,181,45-54,F,Professional certificate/ diploma,CL5,nscore,0.31287
174,182,25-34,M,Doctorate degree,CL5,nscore,-1.32828
175,183,35-44,F,"Some college or university, no certificate or degree",CL5,nscore,0.31287
176,184,18-24,F,University degree,CL6,nscore,1.98437
177,185,55-64,M,Left school at 18 years,CL6,nscore,0.04257
178,186,35-44,F,University degree,CL5,nscore,0.31287
179,187,35-44,F,Masters degree,CL6,nscore,-0.67825
180,188,55-64,F,Left school at 16 years,CL4,nscore,-0.79151
181,189,45-54,F,Left school at 16 years,CL4,nscore,0.41667
182,190,18-24,F,Masters degree,CL5,nscore,-0.34799
183,191,55-64,F,Professional certificate/ diploma,CL5,nscore,-1.43907
184,192,18-24,M,University degree,CL5,nscore,-0.34799
185,193,25-34,F,Professional certificate/ diploma,CL5,nscore,-0.79151
186,194,45-54,F,University degree,CL5,nscore,0.31287
187,195,25-34,F,University degree,CL3,nscore,-0.92104
188,196,55-64,F,University degree,CL5,nscore,0.62967
189,197,18-24,M,University degree,CL4,nscore,-0.58016
190,198,55-64,F,University degree,CL5,nscore,-0.34799
191,199,25-34,F,Professional certificate/ diploma,CL6,nscore,-0.05188
192,200,45-54,F,Professional certificate/ diploma,CL4,nscore,-0.46725
193,201,18-24,F,University degree,CL6,nscore,-0.58016
194,202,35-44,M,Masters degree,CL5,nscore,-0.14882
195,203,35-44,F,University degree,CL6,nscore,-0.67825
196,204,65+,M,Left school before 16 years,CL5,nscore,-1.55078
197,205,25-34,F,University degree,CL5,nscore,-0.14882
198,206,35-44,F,Left school at 16 years,CL5,nscore,-0.14882
199,207,18-24,F,University degree,CL5,nscore,-0.05188
200,208,35-44,F,Professional certificate/ diploma,CL5,nscore,-0.67825
201,209,35-44,F,University degree,CL4,nscore,0.13606
202,211,25-34,F,"Some college or university, no certificate or degree",CL3,nscore,0.73545
203,212,45-54,F,Left school at 16 years,CL5,nscore,-0.67825
204,213,25-34,F,Professional certificate/ diploma,CL6,nscore,0.13606
205,214,45-54,F,Professional certificate/ diploma,CL5,nscore,0.52135
206,215,25-34,F,Professional certificate/ diploma,CL5,nscore,-0.14882
207,216,25-34,F,University degree,CL5,nscore,1.60383
208,217,25-34,F,Professional certificate/ diploma,CL5,nscore,0.22393
209,218,35-44,M,Professional certificate/ diploma,CL2,nscore,1.23461
210,219,25-34,F,Masters degree,CL4,nscore,0.31287
211,220,35-44,F,"Some college or university, no certificate or degree",CL6,nscore,-0.34799
212,221,18-24,F,University degree,CL5,nscore,0.82562
213,222,25-34,F,University degree,CL3,nscore,-0.14882
214,223,35-44,F,University degree,CL6,nscore,-0.24649
215,225,45-54,F,University degree,CL5,nscore,-0.46725
216,226,35-44,F,University degree,CL6,nscore,-1.32828
217,227,45-54,F,University degree,CL5,nscore,-0.46725
218,228,18-24,M,"Some college or university, no certificate or degree",CL5,nscore,0.22393
219,229,45-54,M,Masters degree,CL6,nscore,-0.67825
220,230,45-54,F,University degree,CL6,nscore,-1.05308
221,231,35-44,F,Professional certificate/ diploma,CL5,nscore,1.02119
222,232,65+,F,Masters degree,CL6,nscore,0.13606
223,233,25-34,F,University degree,CL5,nscore,0.04257
224,234,45-54,M,University degree,CL6,nscore,-0.67825
225,235,25-34,F,University degree,CL4,nscore,0.41667
226,236,25-34,F,Professional certificate/ diploma,CL5,nscore,0.04257
227,237,25-34,F,Masters degree,CL6,nscore,1.49158
228,238,25-34,F,Left school at 16 years,CL5,nscore,0.91093
229,239,18-24,F,Left school at 18 years,CL4,nscore,0.52135
230,240,45-54,F,Professional certificate/ diploma,CL5,nscore,-1.86962
231,241,35-44,F,Masters degree,CL4,nscore,0.62967
232,242,25-34,F,Left school at 18 years,CL5,nscore,2.127
233,243,18-24,F,"Some college or university, no certificate or degree",CL5,nscore,1.49158
234,244,25-34,F,University degree,CL5,nscore,-0.58016
235,245,35-44,M,University degree,CL5,nscore,1.98437
236,246,25-34,F,"Some college or university, no certificate or degree",CL5,nscore,-0.24649
237,247,25-34,F,Professional certificate/ diploma,CL5,nscore,1.37297
238,248,45-54,M,Masters degree,CL6,nscore,-0.92104
239,249,45-54,F,Doctorate degree,CL5,nscore,-2.42317
240,250,45-54,F,Professional certificate/ diploma,CL5,nscore,1.13281
241,251,45-54,M,University degree,CL5,nscore,-0.46725
242,252,35-44,F,University degree,CL4,nscore,0.62967
243,253,18-24,F,Masters degree,CL5,nscore,-1.43907
244,254,45-54,F,Doctorate degree,CL6,nscore,-0.79151
245,255,25-34,M,Professional certificate/ diploma,CL4,nscore,1.37297
246,256,35-44,F,Masters degree,CL5,nscore,-1.1943
247,257,18-24,F,"Some college or university, no certificate or degree",CL4,nscore,-0.46725
248,258,35-44,M,Doctorate degree,CL4,nscore,0.04257
249,259,65+,M,Doctorate degree,CL5,nscore,0.52135
250,260,65+,M,Professional certificate/ diploma,CL6,nscore,-1.05308
251,261,45-54,F,Professional certificate/ diploma,CL5,nscore,-0.46725
252,262,55-64,M,University degree,CL2,nscore,-0.67825
253,263,45-54,M,Masters degree,CL3,nscore,-0.92104
254,264,55-64,F,Left school before 16 years,CL5,nscore,-1.05308
255,265,18-24,F,University degree,CL5,nscore,-0.46725
256,266,35-44,F,University degree,CL2,nscore,-0.24649
257,267,55-64,M,University degree,CL6,nscore,-1.1943
258,268,35-44,M,Professional certificate/ diploma,CL6,nscore,-0.92104
259,269,45-54,F,Masters degree,CL6,nscore,-1.05308
260,270,35-44,F,Masters degree,CL4,nscore,-0.92104
261,271,45-54,F,Masters degree,CL6,nscore,-2.3436
262,272,45-54,F,Masters degree,CL6,nscore,0.73545
263,273,55-64,M,Doctorate degree,CL6,nscore,-1.05308
