,id,age,gender,education,freq,variable,value,drug_type
0,2,25-34,M,Doctorate degree,Used in Last Week,nscore,-0.68,alcohol
1,3,35-44,M,Professional certificate/ diploma,Used in Last Day,nscore,-0.47,alcohol
2,4,18-24,F,Masters degree,Used in Last Month,nscore,-0.15,alcohol
3,5,35-44,F,Doctorate degree,Used in Last Month,nscore,0.74,alcohol
4,6,65+,F,Left school at 18 years,Used in Last Decade,nscore,-0.68,alcohol
5,7,45-54,M,Masters degree,Used in Last Day,nscore,-0.47,alcohol
6,8,35-44,M,Left school at 16 years,Used in Last Week,nscore,-1.33,alcohol
7,9,35-44,F,Professional certificate/ diploma,Used in Last Month,nscore,0.63,alcohol
8,10,55-64,M,Masters degree,Used in Last Day,nscore,-0.25,alcohol
9,11,25-34,F,University degree,Used in Last Week,nscore,-1.05,alcohol
10,12,45-54,M,"Some college or university, no certificate or degree",Used in Last Week,nscore,-1.33,alcohol
11,13,55-64,F,University degree,Used in Last Week,nscore,2.29,alcohol
12,15,55-64,F,Professional certificate/ diploma,Used in Last Day,nscore,-0.92,alcohol
13,16,55-64,M,University degree,Used in Last Week,nscore,-2.05,alcohol
14,17,35-44,F,"Some college or university, no certificate or degree",Used in Last Day,nscore,-1.55,alcohol
15,18,45-54,M,Left school at 16 years,Used in Last Day,nscore,0.52,alcohol
16,19,55-64,M,University degree,Used in Last Day,nscore,1.37,alcohol
17,20,35-44,M,Professional certificate/ diploma,Used in Last Month,nscore,-0.35,alcohol
18,21,45-54,M,Professional certificate/ diploma,Used in Last Day,nscore,-0.79,alcohol
19,22,65+,M,Left school before 16 years,Used in Last Week,nscore,-1.19,alcohol
20,23,45-54,M,University degree,Used in Last Month,nscore,0.42,alcohol
21,24,45-54,M,Left school at 16 years,Used in Last Day,nscore,1.6,alcohol
22,25,55-64,M,University degree,Used in Last Week,nscore,-0.15,alcohol
23,26,45-54,M,"Some college or university, no certificate or degree",Used in Last Week,nscore,-0.79,alcohol
24,27,55-64,F,Left school at 18 years,Used in Last Day,nscore,-0.05,alcohol
25,28,35-44,M,University degree,Used in Last Day,nscore,0.52,alcohol
26,29,35-44,F,Masters degree,Used in Last Day,nscore,0.04,alcohol
27,31,45-54,M,Left school at 16 years,Used in Last Day,nscore,0.31,alcohol
28,32,35-44,F,Left school at 16 years,Used in Last Year,nscore,-1.19,alcohol
29,33,35-44,M,University degree,Used in Last Day,nscore,-0.79,alcohol
30,34,18-24,M,University degree,Used in Last Day,nscore,0.42,alcohol
31,35,35-44,M,University degree,Used in Last Month,nscore,1.02,alcohol
32,36,65+,M,Left school before 16 years,Used in Last Year,nscore,-0.25,alcohol
33,37,35-44,M,University degree,Used in Last Day,nscore,-0.25,alcohol
34,38,55-64,M,Left school before 16 years,Used in Last Day,nscore,0.31,alcohol
35,39,45-54,M,University degree,Used in Last Day,nscore,-1.55,alcohol
36,40,65+,F,Professional certificate/ diploma,Used in Last Day,nscore,-0.25,alcohol
37,41,35-44,M,Masters degree,Used in Last Week,nscore,0.04,alcohol
38,42,35-44,F,University degree,Used in Last Month,nscore,0.83,alcohol
39,43,35-44,M,Masters degree,Used in Last Day,nscore,-0.15,alcohol
40,44,35-44,M,Professional certificate/ diploma,Used in Last Day,nscore,-0.92,alcohol
41,45,25-34,M,University degree,Used in Last Week,nscore,-1.05,alcohol
42,46,25-34,F,University degree,Used in Last Week,nscore,-0.47,alcohol
43,47,45-54,F,"Some college or university, no certificate or degree",Used in Last Year,nscore,0.31,alcohol
44,48,45-54,M,Masters degree,Used in Last Week,nscore,-2.05,alcohol
45,49,45-54,M,Left school at 16 years,Used in Last Day,nscore,0.14,alcohol
46,50,25-34,F,Masters degree,Used in Last Day,nscore,0.83,alcohol
