"","ID","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","AScore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA","iso3"
"1",2,"25-34","M","Doctorate degree","UK","White",-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,"5","2","2","0","6","4","6","3","0","4","0","2","0","2","3","0","4","0","0","GBR"
"2",3,"35-44","M","Professional certificate/ diploma","UK","White",-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,"6","0","0","0","6","3","4","0","0","0","0","0","0","0","0","1","0","0","0","GBR"
"3",4,"18-24","F","Masters degree","UK","White",-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,"4","0","0","3","5","2","4","2","0","0","0","2","0","0","0","0","2","0","0","GBR"
"4",5,"35-44","F","Doctorate degree","UK","White",0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,"4","1","1","0","6","3","6","0","0","1","0","0","1","0","0","2","2","0","0","GBR"
"5",6,"65+","F","Left school at 18 years","Canada","White",-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,"2","0","0","0","6","0","4","0","0","0","0","0","0","0","0","0","6","0","0","CAN"
"6",7,"45-54","M","Masters degree","USA","White",-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,"6","0","0","0","6","1","5","0","0","0","0","0","0","0","0","0","6","0","0","USA"
"7",8,"35-44","M","Left school at 16 years","UK","White",-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,"5","0","0","0","6","0","4","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"8",9,"35-44","F","Professional certificate/ diploma","Canada","White",0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,"4","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","6","0","0","CAN"
"9",10,"55-64","M","Masters degree","UK","White",-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,"6","1","0","1","6","1","6","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"10",11,"25-34","F","University degree","UK","White",-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,"5","0","1","0","6","2","5","2","0","0","0","0","0","0","0","0","2","0","1","GBR"
"11",13,"55-64","F","University degree","UK","White",2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,"5","1","0","4","6","3","5","1","0","0","0","0","0","1","1","1","6","0","0","GBR"
"12",14,"55-64","F","Professional certificate/ diploma","Canada","White",-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,"1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","CAN"
"13",15,"55-64","F","Professional certificate/ diploma","UK","White",-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,"6","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"14",16,"55-64","M","University degree","UK","White",-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,"5","2","2","0","6","1","5","2","0","1","0","0","0","0","0","0","0","0","0","GBR"
"15",17,"35-44","F","Some college or university, no certificate or degree","UK","White",-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,"6","0","0","1","6","3","5","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"16",18,"45-54","M","Left school at 16 years","UK","White",0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,"6","1","1","0","6","6","4","1","0","1","0","2","0","1","0","1","6","0","0","GBR"
"17",19,"55-64","M","University degree","Australia","White",1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,"6","2","0","2","6","3","6","2","0","2","0","0","2","1","0","1","0","0","0","AUS"
"18",20,"35-44","M","Professional certificate/ diploma","UK","White",-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,"4","1","0","0","6","1","6","0","0","1","0","0","0","0","6","0","1","0","0","GBR"
"19",21,"45-54","M","Professional certificate/ diploma","UK","White",-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,"6","1","1","0","6","2","6","0","0","0","0","0","0","1","0","1","3","0","0","GBR"
"20",22,"65+","M","Left school before 16 years","UK","White",-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,"5","0","0","0","6","1","6","0","0","0","0","0","0","0","0","1","1","0","0","GBR"
"21",23,"45-54","M","University degree","UK","White",0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,"4","0","0","0","5","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"22",24,"45-54","M","Left school at 16 years","UK","White",1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,"6","2","1","5","6","2","6","2","0","0","1","0","0","1","0","0","6","0","1","GBR"
"23",25,"55-64","M","University degree","UK","White",-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,"5","1","1","1","5","1","5","1","0","1","0","0","0","1","0","1","6","0","0","GBR"
"24",26,"45-54","M","Some college or university, no certificate or degree","UK","White",-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,"5","1","2","0","6","1","5","2","0","2","0","0","3","2","0","2","1","0","0","GBR"
"25",27,"55-64","F","Left school at 18 years","Canada","White",-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,"6","0","0","2","6","1","6","0","0","0","0","0","0","0","0","0","6","0","0","CAN"
"26",28,"35-44","M","University degree","UK","White",0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,"6","1","1","2","6","6","5","1","0","0","0","0","2","1","0","3","2","0","0","GBR"
"27",29,"35-44","F","Masters degree","UK","White",0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,"6","0","0","0","4","1","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"28",30,"45-54","M","Doctorate degree","UK","White",-1.32828,1.74091,0.88309,0.94156,1.81175,-0.21712,-0.52593,"0","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"29",31,"45-54","M","Left school at 16 years","UK","White",0.31287,-0.80615,-1.27553,-1.47955,-0.65253,-1.37983,0.07987,"6","1","1","1","6","2","6","1","0","0","1","0","1","1","1","1","2","0","0","GBR"
"30",33,"35-44","M","University degree","UK","White",-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.84637,"6","1","1","0","6","3","6","0","0","0","0","0","0","0","0","1","6","0","0","GBR"
"31",34,"18-24","M","University degree","UK","White",0.41667,-0.30033,0.29338,1.2861,-0.14277,-0.71126,-1.54858,"6","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"32",35,"35-44","M","University degree","USA","Other",1.02119,0.63779,0.88309,-2.90161,-0.78155,0.52975,1.92173,"4","2","1","1","5","2","5","2","1","1","1","2","1","1","1","1","5","0","1","USA"
"33",36,"65+","M","Left school before 16 years","UK","White",-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.54858,"3","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"34",37,"35-44","M","University degree","UK","White",-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,"6","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"35",38,"55-64","M","Left school before 16 years","USA","White",0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,"6","1","2","1","6","3","4","1","0","0","0","0","0","1","0","1","6","0","0","USA"
"36",39,"45-54","M","University degree","UK","White",-1.55078,1.2861,0.29338,-0.01729,0.7583,-0.21712,-0.84637,"6","1","0","0","4","1","5","0","0","0","0","0","0","0","0","1","1","0","0","GBR"
"37",40,"65+","F","Professional certificate/ diploma","UK","White",-0.24649,-0.94779,-1.11902,-0.76096,0.41594,-1.37983,-0.21575,"6","0","0","0","6","1","6","0","0","0","0","0","1","0","4","0","1","0","0","GBR"
"38",41,"35-44","M","Masters degree","UK","White",0.04257,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987,"5","1","0","2","6","0","6","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"39",42,"35-44","F","University degree","UK","White",0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,"4","0","0","0","4","0","6","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"40",43,"35-44","M","Masters degree","UK","White",-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,-0.21712,-0.52593,"6","0","3","5","6","2","4","6","0","4","0","2","2","0","0","0","1","0","0","GBR"
"41",44,"35-44","M","Professional certificate/ diploma","UK","White",-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,-0.21712,-0.21575,"6","2","2","0","6","3","6","3","0","2","0","0","0","2","0","0","6","0","0","GBR"
"42",45,"25-34","M","University degree","UK","Other",-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987,"5","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","2","0","0","GBR"
"43",46,"25-34","F","University degree","UK","White",-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,"5","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"44",47,"45-54","F","Some college or university, no certificate or degree","Canada","White",0.31287,0.63779,-1.11902,0.28783,1.46191,-0.71126,-0.84637,"3","0","0","0","6","1","4","0","0","0","0","0","0","1","0","0","2","0","1","CAN"
"45",48,"45-54","M","Masters degree","UK","White",-2.05048,0.80523,0.29338,0.94156,1.13407,-2.55524,-1.18084,"5","0","0","0","6","1","4","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"46",49,"45-54","M","Left school at 16 years","UK","White",0.13606,-0.80615,-0.31776,-0.15487,-0.65253,0.19268,-0.84637,"6","1","1","0","6","5","6","1","0","0","0","0","0","0","0","1","6","0","0","GBR"
