no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol
2,25-34,M,9,UK,White,-0.67825,1.93886,1.43533,0.76096,-0.14277,Used in Last Week
3,35-44,M,6,UK,White,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,Used in Last Day
4,18-24,F,8,UK,White,-0.14882,-0.80615,-0.01928,0.59042,0.58489,Used in Last Month
5,35-44,F,9,UK,White,0.73545,-1.6334,-0.45174,-0.30172,1.30612,Used in Last Month
6,65+,F,4,Canada,White,-0.67825,-0.30033,-1.55521,2.03972,1.63088,Used in Last Decade
7,45-54,M,8,USA,White,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,Used in Last Day
8,35-44,M,2,UK,White,-1.32828,1.93886,-0.84732,-0.30172,1.63088,Used in Last Week
9,35-44,F,6,Canada,White,0.62967,2.57309,-0.97631,0.76096,1.13407,Used in Last Month
10,55-64,M,8,UK,White,-0.24649,0.00332,-1.42424,0.59042,0.12331,Used in Last Day
11,25-34,F,7,UK,White,-1.05308,0.80523,-1.11902,-0.76096,1.81175,Used in Last Week
13,55-64,F,7,UK,White,2.28554,0.16767,0.44585,-1.6209,-0.78155,Used in Last Week
14,55-64,F,6,Canada,White,-0.79151,0.80523,-0.01928,0.94156,3.46436,Used over a Decade Ago
15,55-64,F,6,UK,White,-0.92104,1.45421,0.44585,-0.60633,1.63088,Used in Last Day
16,55-64,M,7,UK,White,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,Used in Last Week
17,35-44,F,5,UK,White,-1.55078,-0.80615,-1.68062,0.28783,0.7583,Used in Last Day
18,45-54,M,2,UK,White,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,Used in Last Day
19,55-64,M,7,Australia,White,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,Used in Last Day
20,35-44,M,6,UK,White,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,Used in Last Month
21,45-54,M,6,UK,White,-0.79151,0.80523,0.7233,1.61108,-1.13788,Used in Last Day
22,65+,M,1,UK,White,-1.1943,0.47617,-1.11902,-0.60633,1.81175,Used in Last Week
23,45-54,M,7,UK,White,0.41667,-0.94779,-0.84732,1.11406,-0.89891,Used in Last Month
24,45-54,M,2,UK,White,1.60383,-3.27393,-1.27553,0.28783,-1.0145,Used in Last Day
