,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
5,1180,25-34,F,8,USA,White,2.127,0.47617,1.88511,-2.78793,-1.25773,Used in Last Month,1,4
8,1047,25-34,F,8,USA,White,1.37297,1.2861,1.88511,-2.5383,-1.25773,Used in Last Week,1,5
11,1779,18-24,F,7,USA,White,-0.05188,0.32197,-0.01928,-2.5383,0.7583,Used in Last Week,1,5
13,1829,25-34,F,8,USA,White,-0.34799,1.11406,0.44585,-2.5383,-0.14277,Used in Last Week,1,5
17,1476,25-34,F,5,USA,White,2.46262,-1.92173,-0.58331,-2.35413,-2.30408,Used in Last Week,1,5
21,917,25-34,F,3,USA,White,2.28554,-2.5383,-0.58331,-2.21844,-3.15735,Used in Last Week,1,5
24,1432,18-24,F,5,USA,White,1.23461,1.11406,-0.58331,-2.21844,-0.65253,Used in Last Day,1,6
25,1680,18-24,F,7,UK,White,0.13606,0.63779,-0.01928,-2.21844,1.63088,Used in Last Year,1,3
28,122,35-44,F,6,UK,White,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,Used in Last Decade,1,2
30,537,25-34,F,7,USA,White,0.91093,0.00332,0.88309,-2.07848,-0.52745,Used in Last Week,1,5
32,1133,25-34,F,6,USA,White,2.28554,0.80523,0.7233,-2.07848,-1.78169,Used in Last Month,1,4
33,1207,18-24,F,4,UK,White,-1.05308,-0.57545,-0.01928,-2.07848,-1.38502,Used in Last Week,1,5
34,1502,18-24,F,5,USA,White,0.62967,0.16767,0.58331,-2.07848,-0.00665,Used in Last Month,1,4
44,813,45-54,F,7,USA,White,1.23461,1.74091,0.88309,-1.92595,-1.64101,Used in Last Day,1,6
53,1750,25-34,F,3,USA,White,2.61139,-0.43999,-0.45174,-1.92595,-2.04506,Used in Last Week,1,5
55,339,45-54,F,6,Canada,White,-0.58016,0.32197,1.06238,-1.772,0.41594,Used in Last Week,1,5
57,439,25-34,F,7,USA,White,2.82196,-0.43999,-0.84732,-1.772,-2.04506,Used in Last Week,1,5
58,449,18-24,F,5,UK,White,1.13281,1.45421,1.06238,-1.772,-0.89891,Used in Last Week,1,5
59,461,18-24,F,7,UK,White,1.23461,-1.37639,1.24033,-1.772,0.25953,Used in Last Day,1,6
62,565,25-34,F,8,UK,White,0.82562,0.32197,-0.58331,-1.772,-0.27607,Used in Last Week,1,5
63,572,35-44,F,6,Australia,White,0.22393,1.11406,-1.11902,-1.772,-0.40581,Used in Last Day,1,6
64,806,18-24,F,7,Canada,White,1.98437,-1.50796,1.43533,-1.772,0.41594,Used in Last Day,1,6
65,984,25-34,F,7,USA,White,0.62967,-0.15487,1.88511,-1.772,1.13407,Used in Last Week,1,5
66,1058,35-44,F,4,USA,White,0.31287,-1.23177,-1.11902,-1.772,-1.38502,Used in Last Month,1,4
68,1267,25-34,F,8,UK,White,1.8399,-0.94779,-0.31776,-1.772,-2.04506,Used in Last Week,1,5
70,1367,18-24,F,2,Canada,White,0.13606,-0.30033,-0.01928,-1.772,-2.18109,Used in Last Day,1,6
72,1490,25-34,F,5,USA,White,-0.46725,-0.43999,-0.17779,-1.772,-1.25773,Used in Last Day,1,6
73,1509,18-24,F,7,UK,White,1.02119,-0.69509,0.88309,-1.772,-0.40581,Used in Last Day,1,6
77,1886,25-34,F,7,USA,White,1.13281,-1.37639,-1.27553,-1.772,-1.38502,Used in Last Month,1,4
79,13,55-64,F,7,UK,White,2.28554,0.16767,0.44585,-1.6209,-0.78155,Used in Last Week,1,5
84,518,35-44,F,2,UK,White,-0.14882,0.16767,-0.71727,-1.6209,0.25953,Used in Last Day,1,6
86,592,35-44,F,7,UK,White,0.41667,-0.43999,-0.31776,-1.6209,1.63088,Used in Last Day,1,6
87,615,25-34,F,8,UK,White,1.98437,-0.30033,-0.31776,-1.6209,-0.65253,Used in Last Day,1,6
96,1222,18-24,F,6,USA,White,1.02119,0.96248,0.29338,-1.6209,-0.89891,Used in Last Month,1,4
97,1269,35-44,F,7,UK,White,0.41667,0.00332,-1.11902,-1.6209,-0.00665,Used in Last Week,1,5
99,1330,25-34,F,7,UK,White,1.8399,-0.80615,1.24033,-1.6209,-1.13788,Used in Last Week,1,5
101,1742,25-34,F,7,USA,White,1.49158,0.63779,0.88309,-1.6209,-0.00665,Used in Last Week,1,5
104,1887,18-24,F,5,USA,White,0.91093,-1.92173,0.29338,-1.6209,-2.57309,Used in Last Week,1,5
106,75,65+,F,2,UK,White,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,Used in Last Year,1,3
107,246,25-34,F,5,UK,White,-0.24649,-0.94779,-1.68062,-1.47955,-1.38502,Used in Last Week,1,5
121,1223,18-24,F,4,USA,White,1.02119,-0.30033,0.14143,-1.47955,-0.65253,Used in Last Day,1,6
123,1314,18-24,F,5,USA,White,-1.32828,2.32338,-2.39883,-1.47955,-1.38502,Used in Last Day,1,6
124,1369,18-24,F,5,USA,White,1.49158,0.63779,1.06238,-1.47955,-1.13788,Used in Last Week,1,5
125,1491,25-34,F,9,UK,White,1.37297,-0.69509,-0.58331,-1.47955,1.13407,Used in Last Week,1,5
127,1529,18-24,F,7,UK,White,-1.86962,1.93886,0.58331,-1.47955,0.12331,Used in Last Day,1,6
132,1810,18-24,F,3,USA,White,1.23461,1.11406,1.06238,-1.47955,0.12331,Used in Last Month,1,4
133,1830,25-34,F,7,USA,Other,0.82562,-1.6334,-0.31776,-1.47955,-1.13788,Used in Last Decade,1,2
138,287,45-54,F,7,UK,White,0.22393,-1.37639,-0.17779,-1.34289,-0.14277,Used in Last Week,1,5
139,336,65+,F,2,Canada,White,-0.14882,-0.15487,-1.42424,-1.34289,-0.00665,Used in Last Month,1,4
140,373,35-44,F,7,UK,White,1.02119,2.32338,1.65653,-1.34289,0.41594,Used in Last Week,1,5
143,400,25-34,F,8,UK,White,-0.79151,0.32197,0.29338,-1.34289,0.93949,Used in Last Day,1,6
149,664,25-34,F,9,UK,White,1.23461,-1.23177,-0.31776,-1.34289,-1.38502,Used in Last Day,1,6
159,1240,18-24,F,7,UK,White,-0.05188,0.16767,0.44585,-1.34289,0.41594,Used in Last Day,1,6
160,1257,35-44,F,7,UK,White,-1.05308,-0.57545,-0.01928,-1.34289,0.58489,Used in Last Week,1,5
161,1299,35-44,F,7,USA,White,-2.05048,0.47617,0.58331,-1.34289,-0.52745,Used in Last Day,1,6
162,1318,25-34,F,7,UK,White,0.04257,0.80523,-1.68062,-1.34289,0.58489,Used in Last Week,1,5
167,1661,35-44,F,6,UK,White,1.60383,0.16767,2.15324,-1.34289,-1.38502,Used in Last Year,1,3
168,1761,45-54,F,6,UK,White,-0.58016,0.32197,0.14143,-1.34289,0.93949,Used in Last Week,1,5
170,1781,18-24,F,7,USA,White,1.37297,-0.69509,-2.09015,-1.34289,-1.0145,Used in Last Week,1,5
174,113,25-34,F,7,UK,White,-1.1943,0.32197,0.88309,-1.21213,-0.78155,Used in Last Year,1,3
176,177,35-44,F,7,UK,Other,-0.14882,-0.57545,-0.84732,-1.21213,-0.52745,Used in Last Year,1,3
177,479,35-44,F,6,UK,White,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,Used in Last Day,1,6
183,680,18-24,F,5,UK,White,0.62967,-0.30033,-0.58331,-1.21213,1.46191,Used in Last Week,1,5
184,685,35-44,F,6,UK,White,0.91093,-0.69509,1.24033,-1.21213,-1.5184,Used in Last Month,1,4
195,1154,55-64,F,8,USA,Other,0.31287,-0.69509,-0.71727,-1.21213,-0.27607,Used in Last Year,1,3
197,1260,45-54,F,8,UK,White,-0.34799,-0.80615,-0.45174,-1.21213,-0.14277,Used in Last Year,1,3
