,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
0,902,18-24,M,7,Canada,White,-2.52197,1.74091,-1.55521,-3.46436,-0.14277,Used in Last Week,1,5
1,1140,25-34,M,5,USA,White,0.52135,-1.23177,0.44585,-3.15735,-0.52745,Used in Last Day,1,6
2,895,25-34,M,5,USA,White,1.02119,-1.50796,0.29338,-3.00537,-1.5184,Used in Last Month,1,4
3,35,35-44,M,7,USA,Other,1.02119,0.63779,0.88309,-2.90161,-0.78155,Used in Last Month,1,4
4,842,25-34,M,7,USA,White,0.22393,-1.37639,0.58331,-2.78793,-0.00665,Used in Last Week,1,5
6,258,35-44,M,9,UK,White,0.04257,0.00332,0.88309,-2.70172,-0.27607,Used in Last Month,1,4
7,460,25-34,M,8,UK,White,0.91093,1.2861,1.88511,-2.5383,-0.40581,Used in Last Month,1,4
9,1117,45-54,M,2,UK,White,0.52135,-0.57545,0.44585,-2.5383,-0.27607,Used in Last Year,1,3
10,1345,18-24,M,4,Canada,White,1.37297,-1.23177,-1.11902,-2.5383,0.93949,Used in Last Week,1,5
12,1801,45-54,M,5,USA,White,2.28554,-1.23177,-0.01928,-2.5383,-2.90161,Used in Last Decade,1,2
14,167,18-24,M,5,UK,White,1.49158,-1.23177,0.7233,-2.35413,-1.92173,Used in Last Week,1,5
15,907,18-24,M,5,USA,White,1.37297,-0.15487,-0.17779,-2.35413,-1.13788,Used in Last Decade,1,2
16,1002,18-24,M,5,USA,White,-0.05188,0.96248,-1.27553,-2.35413,-0.89891,Used in Last Week,1,5
18,1755,18-24,M,5,USA,White,-1.05308,0.16767,0.44585,-2.35413,-1.5184,Used in Last Month,1,4
19,418,18-24,M,5,UK,White,-0.05188,-0.69509,0.29338,-2.21844,-1.25773,Used in Last Week,1,5
20,457,35-44,M,7,UK,White,1.60383,-0.43999,0.29338,-2.21844,-0.65253,Used in Last Day,1,6
22,1209,18-24,M,6,USA,Other,0.13606,0.00332,0.7233,-2.21844,1.46191,Used in Last Day,1,6
23,1281,18-24,M,7,UK,Asian,0.82562,0.63779,-0.84732,-2.21844,0.93949,Never Used,1,1
26,1763,18-24,M,5,USA,White,0.52135,-1.09207,-0.01928,-2.21844,-1.38502,Used in Last Month,1,4
27,41,35-44,M,8,UK,White,0.04257,-0.43999,-0.01928,-2.07848,0.7583,Used in Last Week,1,5
29,417,18-24,M,4,UK,White,-0.58016,-1.09207,-0.58331,-2.07848,2.63199,Used in Last Day,1,6
31,603,18-24,M,5,USA,White,0.52135,-1.6334,-1.11902,-2.07848,0.58489,Used in Last Day,1,6
35,1799,18-24,M,7,USA,White,1.49158,-1.50796,-0.01928,-2.07848,-0.78155,Used in Last Year,1,3
36,1843,25-34,M,7,USA,Other,1.13281,-0.15487,1.24033,-2.07848,0.93949,Used in Last Month,1,4
37,1856,18-24,M,5,USA,White,-0.14882,1.2861,-0.31776,-2.07848,0.41594,Used in Last Week,1,5
38,19,55-64,M,7,Australia,White,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,Used in Last Day,1,6
39,20,35-44,M,6,UK,White,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,Used in Last Month,1,4
40,71,25-34,M,5,UK,White,-0.34799,-0.30033,0.14143,-1.92595,-0.27607,Used in Last Day,1,6
41,491,18-24,M,1,UK,White,1.98437,-1.37639,0.29338,-1.92595,-1.64101,Used in Last Year,1,3
42,529,18-24,M,6,UK,White,0.91093,-1.37639,-0.31776,-1.92595,-1.38502,Used in Last Month,1,4
43,532,55-64,M,7,UK,White,0.91093,0.00332,0.58331,-1.92595,0.58489,Used in Last Week,1,5
45,849,25-34,M,7,USA,White,0.62967,-0.43999,0.29338,-1.92595,-0.89891,Used in Last Year,1,3
46,860,25-34,M,3,Canada,White,1.37297,-0.80615,-0.45174,-1.92595,-1.64101,Used in Last Month,1,4
47,878,35-44,M,6,USA,Other,1.23461,-2.11437,0.7233,-1.92595,-0.40581,Used in Last Year,1,3
48,1022,18-24,M,7,USA,White,0.13606,-0.94779,1.06238,-1.92595,0.7583,Used in Last Day,1,6
49,1054,18-24,M,4,Canada,White,1.23461,-0.57545,-1.55521,-1.92595,-2.04506,Used in Last Day,1,6
50,1170,45-54,M,6,USA,White,0.41667,-0.15487,-0.17779,-1.92595,-1.0145,Used in Last Week,1,5
51,1199,25-34,M,7,Canada,White,-0.92104,-0.30033,-0.17779,-1.92595,-0.27607,Never Used,1,1
52,1453,18-24,M,5,USA,White,0.41667,-0.43999,2.15324,-1.92595,2.33337,Used in Last Year,1,3
54,117,35-44,M,6,Canada,White,0.62967,-0.57545,0.14143,-1.772,-0.40581,Used in Last Month,1,4
56,359,35-44,M,2,UK,White,2.46262,-1.23177,-0.97631,-1.772,-1.64101,Used in Last Year,1,3
60,478,35-44,M,7,UK,White,1.72012,-0.94779,0.58331,-1.772,-0.40581,Used in Last Day,1,6
61,510,35-44,M,2,UK,White,1.49158,-1.09207,-1.11902,-1.772,-0.78155,Used in Last Week,1,5
67,1121,18-24,M,5,USA,White,1.02119,-0.43999,-0.01928,-1.772,-1.0145,Used in Last Month,1,4
69,1317,25-34,M,6,USA,White,-0.92104,-0.15487,0.7233,-1.772,-0.40581,Used in Last Week,1,5
71,1416,18-24,M,2,UK,White,1.8399,-1.37639,-0.17779,-1.772,-1.64101,Used in Last Year,1,3
74,1555,18-24,M,5,UK,White,-0.05188,-2.32338,-0.84732,-1.772,-0.40581,Used in Last Day,1,6
75,1701,18-24,M,5,USA,White,1.37297,-0.94779,2.15324,-1.772,-1.92173,Used in Last Month,1,4
76,1881,18-24,M,3,USA,White,1.49158,-1.92173,-0.58331,-1.772,0.58489,Used in Last Day,1,6
78,3,35-44,M,6,UK,White,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,Used in Last Day,1,6
80,60,45-54,M,7,UK,White,-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,Used in Last Week,1,5
81,79,35-44,M,5,UK,White,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,Used in Last Day,1,6
82,96,45-54,M,8,UK,White,-0.46725,0.32197,1.06238,-1.6209,1.13407,Used in Last Day,1,6
83,403,45-54,M,2,UK,White,0.13606,-1.09207,-0.45174,-1.6209,-0.65253,Used in Last Week,1,5
85,535,25-34,M,8,UK,White,-0.34799,-0.15487,-0.71727,-1.6209,-0.65253,Used in Last Month,1,4
88,648,18-24,M,5,USA,White,-1.43907,1.45421,1.06238,-1.6209,0.93949,Used in Last Day,1,6
